id,title,book_id,author,tier,tier_code,reads,log_reads,nchars,bytes,file,fully_matched,ambiguous,resolve_note,ledger_idx
256,你的许诺全是背叛,,,小扑,2,969,6.8763,10353,30293,你的许诺全是背叛.txt,True,False,,
014,霸凌者母亲说我女儿勾引她儿子，重生后我在家长会上杀疯了,,,小扑,2,956,6.8628,12885,34051,霸凌者母亲说我女儿勾引她儿子，重生后我在家长会上杀疯了.txt,True,False,,
184,老公半夜三点打电话让我挪车，我反手报警他杀人藏尸,,,A,5,14111,9.5547,18567,48549,老公半夜三点打电话让我挪车，我反手报警他杀人藏尸.txt,True,False,,
375,他的偏爱，我原路退回,,,C,3,1022,6.9295,11404,32854,他的偏爱，我原路退回.txt,True,False,,
047,成为太监后，我杀疯了,,,C,3,1012,6.9197,12020,35118,成为太监后，我杀疯了.txt,True,False,,
101,废蕾丝与旧银链,,,小扑,2,990,6.8977,11084,31742,废蕾丝与旧银链.txt,True,False,,
490,遗产780万我跟妈说18万，次日娘家带着麻袋上门了,,,C,3,1050,6.9565,20677,59601,遗产780万我跟妈说18万，次日娘家带着麻袋上门了.txt,True,False,,
489,衣柜深处无星光,,,小扑,2,961,6.868,14170,41664,衣柜深处无星光.txt,True,False,,
353,收到未来自己的邮件后，我断亲了,,,小扑,2,971,6.8783,10723,31627,收到未来自己的邮件后，我断亲了.txt,True,False,,
251,男友纵容村花害我染脏病，我笑着说染病的是你啊,,,C,3,1049,6.9556,10590,30684,男友纵容村花害我染脏病，我笑着说染病的是你啊.txt,True,False,,
575,假千金推我下楼，不好意思我有点疯,,:佚名 字数:10773 分类:女生生活,A,5,1009,6.9167,11659,33207,假千金推我下楼，不好意思我有点疯.txt,True,False,,
219,落地前我发出了求救暗号,,,小扑,2,955,6.8617,11379,32323,落地前我发出了求救暗号.txt,True,False,,
520,终是难以同舟渡,,,C,3,1005,6.9127,10212,30120,终是难以同舟渡.txt,True,False,,
284,剖腹产第二天，我叫来了离婚律师,,,B,4,8900,9.0938,11775,34323,剖腹产第二天，我叫来了离婚律师.txt,True,False,,
389,她偷了我700分送校草上清华，可我半年前就保送了啊,,,C,3,1040,6.947,21272,60255,她偷了我700分送校草上清华，可我半年前就保送了啊.txt,True,False,,
265,女儿的36万高考账单,,,C,3,1004,6.9117,10072,29318,女儿的36万高考账单.txt,True,False,,
161,惊！室友举报我作弊，我都没考公你举报什么？,,,小扑,2,954,6.8607,15609,40631,惊！室友举报我作弊，我都没考公你举报什么？.txt,True,False,,
420,我爸教出的高考状元举报他违规补课,,,C,3,1032,6.9393,9747,28717,我爸教出的高考状元举报他违规补课.txt,True,False,,
037,部门聚餐，实习生说他工资是我两倍,,,C,3,1037,6.9441,15562,44328,部门聚餐，实习生说他工资是我两倍.txt,True,False,,
550,好学生审判者,,:土豆财神 字数:10009 分类:女生生活,A,5,976,6.8835,11276,31184,好学生审判者.txt,True,False,,
477,爷爷鱼竿被奶奶折断，次日赴姑姑家从此不回,,,B,4,5144,8.5456,14854,43198,爷爷鱼竿被奶奶折断，次日赴姑姑家从此不回.txt,True,False,,
167,救了货车司机后反被他老婆污蔑停职，后来她悔疯了,,,小扑,2,951,6.8575,11243,30647,救了货车司机后反被他老婆污蔑停职，后来她悔疯了.txt,True,False,,
288,妻子替男上司生娃还刷我的卡？我冻结资产，妻子慌了,,,小扑,2,957,6.8638,16707,45339,妻子替男上司生娃还刷我的卡？我冻结资产，妻子慌了.txt,True,False,,
140,狗仔重生后，锤爆豪门,,,小扑,2,961,6.868,12315,35415,狗仔重生后，锤爆豪门.txt,True,False,,
571,急性子真千金变豪门淑女后，全家都求她变回去,,,A,5,1141,7.0397,10690,31122,急性子真千金变豪门淑女后，全家都求她变回去.txt,True,False,,
218,录取通知书被撕碎，我在警局掏出爷爷的证书,,,小扑,2,986,6.8937,10901,31945,录取通知书被撕碎，我在警局掏出爷爷的证书.txt,True,False,,
401,团宠小公主被掉包后，我六爻卦起杀疯了,,,B,4,3588,8.1854,12193,35717,团宠小公主被掉包后，我六爻卦起杀疯了.txt,True,False,,
083,灯灭一次，不为旧人亮,,,B,4,4184,8.339,13086,37708,灯灭一次，不为旧人亮.txt,True,False,,
165,旧事随风渡，我自赴江鸿,,,小扑,2,954,6.8607,11791,34359,旧事随风渡，我自赴江鸿.txt,True,False,,
485,一开灯，邻居就会死,,,B,4,3861,8.2587,10681,29183,一开灯，邻居就会死.txt,True,False,,
105,风吹过空白的素描本,,,C,3,1010,6.9177,13678,40110,风吹过空白的素描本.txt,True,False,,
299,秋来时我已不等你了,,,小扑,2,975,6.8824,15394,44846,秋来时我已不等你了.txt,True,False,,
228,没有拍卖到粉钻戒指后，我和老公离婚了,,,B,4,4665,8.4478,15212,44186,没有拍卖到粉钻戒指后，我和老公离婚了.txt,True,False,,
226,满室灰尘，藏二十年偏心谎言,,,小扑,2,998,6.9058,13632,39322,满室灰尘，藏二十年偏心谎言.txt,True,False,,
431,我借5万无人理，两年后，他借55万我拉黑,,,小扑,2,982,6.8896,14657,38891,我借5万无人理，两年后，他借55万我拉黑.txt,True,False,,
286,妻子说不买房结婚？58岁查公积金账户时我傻眼了,,,B,4,3390,8.1286,35037,100639,妻子说不买房结婚？58岁查公积金账户时我傻眼了.txt,True,False,,
287,妻子说怕人吃醋，与我分房三年,,,B,4,5444,8.6023,18221,52675,妻子说怕人吃醋，与我分房三年.txt,True,False,,
508,渣爹和小白花保姆说我是野种，我靠弹幕救母反杀,,,小扑,2,959,6.8659,16376,42394,渣爹和小白花保姆说我是野种，我靠弹幕救母反杀.txt,True,False,,
417,未见天明，不语繁星,,,C,3,1454,7.2821,10375,29867,未见天明，不语繁星.txt,True,False,,
102,分手后，前男友的替身们对我一见钟情,,,B,4,4059,8.3087,12130,35142,分手后，前男友的替身们对我一见钟情.txt,True,False,,
201,离婚冷静期是给后悔的人准备的，可我是清醒,,,小扑,2,972,6.8794,8879,26027,离婚冷静期是给后悔的人准备的，可我是清醒.txt,True,False,,
253,你不是我的伴娘，他不是我的新郎,,,C,3,1009,6.9167,10412,30384,你不是我的伴娘，他不是我的新郎.txt,True,False,,
131,搁浅在岸边的期许,,,小扑,2,989,6.8967,12681,35481,搁浅在岸边的期许.txt,True,False,,
012,爸妈离婚问我跟谁，我指着房子：你们都滚，它归我,,,C,3,1008,6.9157,23819,62801,爸妈离婚问我跟谁，我指着房子：你们都滚，它归我.txt,True,False,,
436,我拼命奔赴的城市，他们早就带另一个人去了,,,C,3,1029,6.9363,11877,34767,我拼命奔赴的城市，他们早就带另一个人去了.txt,True,False,,
258,你我须臾片刻就好,,,小扑,2,975,6.8824,11586,33392,你我须臾片刻就好.txt,True,False,,
562,欢情晚渡，旧爱余辉,,,A,5,1027,6.9344,12174,35713,欢情晚渡，旧爱余辉.txt,True,False,,
428,我的以后，和你无关,,,B,4,9169,9.1236,12432,36112,我的以后，和你无关.txt,True,False,,
028,逼我上交工资？可我们早离了啊,,,小扑,2,973,6.8804,12945,37876,逼我上交工资？可我们早离了啊.txt,True,False,,
002,8600万分完后，16亿合同停了,7661228125107260478,牛牛熬夜写作,B,4,4512,8.4145,42933,123171,8600万分完后，16亿合同停了.txt,True,False,,
399,偷听皇嗣心声后，我成了九千岁,,,小扑,2,988,6.8957,10796,30112,偷听皇嗣心声后，我成了九千岁.txt,True,False,,
519,终是冬雪负归人,,,小扑,2,991,6.8987,10735,30813,终是冬雪负归人.txt,True,False,,
552,和假千金雌竞？拜托，我这种精神小妹读书最狠了,,:哼哼888 字数:8852 分类:女生生活,A,5,1050,6.9565,11148,28816,和假千金雌竞？拜托，我这种精神小妹读书最狠了.txt,True,False,,
