id,title,book_id,author,tier,tier_code,reads,log_reads,nchars,bytes,file,fully_matched,ambiguous,resolve_note,ledger_idx
001,1800机票不批让我坐高铁，8400万废标后董事长怒了,7664814742925511742,月落唔地,小扑,2,981,6.8886,11417,30541,1800机票不批让我坐高铁，8400万废标后董事长怒了.txt,True,False,,
002,8600万分完后，16亿合同停了,7661228125107260478,牛牛熬夜写作,B,4,4512,8.4145,42933,123171,8600万分完后，16亿合同停了.txt,True,False,,
003,爱意死在第三次失望里,,,无信号,,,,12851,37770,爱意死在第三次失望里.txt,False,False,,
004,爱越云海，故人不候,,,无信号,,,,10995,31783,爱越云海，故人不候.txt,False,False,,
005,把悲伤留在过去，他给的伤害让他带走,,,无信号,,,,10064,28988,把悲伤留在过去，他给的伤害让他带走.txt,False,False,,
006,把我赐婚给暗卫后，王爷他悔吐血,7662954205921004568,开元寺的小公主,A,5,79153,11.2791,11635,31831,把我赐婚给暗卫后，王爷他悔吐血.txt,True,False,,
007,把我的保研名额换给废物姐姐后，全家遭了报应,7658116688348466238,佚名（九州文化）,C,3,1033,6.9402,12575,36313,把我的保研名额换给废物姐姐后，全家遭了报应.txt,True,False,,
008,把我送给王爷解毒后，未婚夫他悔疯了,7656616490606529560,开元寺的小公主,B,4,4010,8.2965,11936,34640,把我送给王爷解毒后，未婚夫他悔疯了.txt,True,False,,
009,爸爸为私生女改我志愿，我反手让她退档,7660026444625529881,暮林烟,C,3,1047,6.9537,12037,32245,爸爸为私生女改我志愿，我反手让她退档.txt,True,False,,
010,爸妈，我不想再做姐姐的墓碑了,7614044637480635454,旧爱书写ing,B,4,4128,8.3255,10723,31354,爸妈，我不想再做姐姐的墓碑了.txt,True,False,,
011,爸妈离婚那天，我妈一句话，哥哥吓得站不住了,,,小扑,2,975,6.8824,18873,45311,爸妈离婚那天，我妈一句话，哥哥吓得站不住了.txt,True,False,,
012,爸妈离婚问我跟谁，我指着房子：你们都滚，它归我,,,C,3,1008,6.9157,23819,62801,爸妈离婚问我跟谁，我指着房子：你们都滚，它归我.txt,True,False,,
013,爸妈只宠哥哥，却不知我有个影子哥哥宠,,,无信号,,,,10535,30655,爸妈只宠哥哥，却不知我有个影子哥哥宠.txt,False,False,,
014,霸凌者母亲说我女儿勾引她儿子，重生后我在家长会上杀疯了,,,小扑,2,956,6.8628,12885,34051,霸凌者母亲说我女儿勾引她儿子，重生后我在家长会上杀疯了.txt,True,False,,
015,白月光回国，我提着红桶离婚，冰山总裁老婆悔疯了,,,无信号,,,,27867,72679,白月光回国，我提着红桶离婚，冰山总裁老婆悔疯了.txt,False,False,,
016,百家被缝满偏心，那我就去找属于自己的家,,,小扑,2,962,6.869,11177,32756,百家被缝满偏心，那我就去找属于自己的家.txt,True,False,,
017,帮女同桌垫了三年饭钱，十五年后她还我整个世界,,,小扑,2,971,6.8783,37322,97956,帮女同桌垫了三年饭钱，十五年后她还我整个世界.txt,True,False,,
018,绑定反派系统后，佛系真千金靠长了嘴整顿豪门,,,无信号,,,,17808,47154,绑定反派系统后，佛系真千金靠长了嘴整顿豪门.txt,False,False,,
019,保姆女儿冒领身份钓金龟婿，宴会上我带全家来打脸了,,,小扑,2,982,6.8896,12434,33414,保姆女儿冒领身份钓金龟婿，宴会上我带全家来打脸了.txt,True,False,,
020,保姆女儿偷我推荐名额上名校，还逼我送房，我不装了,,,C,3,1040,6.947,25138,71882,保姆女儿偷我推荐名额上名校，还逼我送房，我不装了.txt,True,False,,
