id,title,book_id,author,tier,tier_code,reads,log_reads,nchars,bytes,file,fully_matched,ambiguous,resolve_note,ledger_idx
145,归来后发现她怀孕，好兄弟竟在视频里对我笑,,,C,3,1017,6.9246,33700,91636,归来后发现她怀孕，好兄弟竟在视频里对我笑.txt,True,False,,
276,贫困生给我的换命茶，我反手给瘫痪多年的老奶喝,,,S,6,326638,12.6966,12026,31010,贫困生给我的换命茶，我反手给瘫痪多年的老奶喝.txt,True,False,,
532,重生后，我抓住了偷儿子的凶手,,,C,3,1019,6.9266,10963,31353,重生后，我抓住了偷儿子的凶手.txt,True,False,,
329,舍友想当我后妈说我爸侵犯她，可我爸远在千里之外啊,,,小扑,2,955,6.8617,11752,31906,舍友想当我后妈说我爸侵犯她，可我爸远在千里之外啊.txt,True,False,,
509,丈夫和闺蜜当我面苟且，我一通电话他们都悔疯了,,,C,3,1048,6.9546,10595,30573,丈夫和闺蜜当我面苟且，我一通电话他们都悔疯了.txt,True,False,,
326,上辈子偷我孙女，这辈子我亲手抓贼,,,C,3,1009,6.9167,13048,34478,上辈子偷我孙女，这辈子我亲手抓贼.txt,True,False,,
340,十一次的误认，十七次的沉默,,,C,3,1004,6.9117,13860,40469,十一次的误认，十七次的沉默.txt,True,False,,
236,那年风起落花深,,,C,3,1040,6.947,23459,68419,那年风起落花深.txt,True,False,,
112,风雪葬尽当年意,,,小扑,2,994,6.9017,14409,41397,风雪葬尽当年意.txt,True,False,,
213,零下十五度的告别,,,小扑,2,957,6.8638,12023,32387,零下十五度的告别.txt,True,False,,
245,男友教学妹练车三年没过科目二，我分手了,,,C,3,1027,6.9344,12297,35823,男友教学妹练车三年没过科目二，我分手了.txt,True,False,,
091,第八次领证失败后，我换人结婚了,,,C,3,1282,7.1562,27358,68536,第八次领证失败后，我换人结婚了.txt,True,False,,
491,因为一碗小炒肉，我收回公司踹了丈夫,,,小扑,2,970,6.8773,10648,31274,因为一碗小炒肉，我收回公司踹了丈夫.txt,True,False,,
569,火光尽处，故人长辞,,:炽心 字数:10204 分类:古风世情；【逗号差异】《火光尽处故人长辞》在读967·失落的四角,A,5,1119,7.0202,12161,32547,火光尽处，故人长辞.txt,True,False,nchars→第1个候选,
138,公司同事让我给一折买房优惠，到了售楼处后傻眼了,,,C,3,1034,6.9412,11955,33109,公司同事让我给一折买房优惠，到了售楼处后傻眼了.txt,True,False,,
523,重回权臣落魄时,,,A,5,86586,11.3689,10577,31204,重回权臣落魄时.txt,True,False,,
190,老公青梅离婚他也离，我死心离开后他哭什么,,,小扑,2,970,6.8773,11410,33044,老公青梅离婚他也离，我死心离开后他哭什么.txt,True,False,,
303,全家人都想姐姐继承家业，殊不知我才是最后赢家,,,小扑,2,975,6.8824,15589,44174,全家人都想姐姐继承家业，殊不知我才是最后赢家.txt,True,False,,
395,听见房子说话后，我反手报警抓人,,,小扑,2,962,6.869,10745,31714,听见房子说话后，我反手报警抓人.txt,True,False,,
365,死对头想要娘亲替她养皇儿，魔丸用婴语杀疯了,,,C,3,1002,6.9098,10072,29601,死对头想要娘亲替她养皇儿，魔丸用婴语杀疯了.txt,True,False,,
434,我们山顶不再见,,,C,3,1039,6.946,14193,39091,我们山顶不再见.txt,True,False,,
